,p_title,price,stock,url,company,p_type,img_url
0,Blemished - CHISEL Olympic EZ Curl Bar with 4 Needle Bearings,$98.00,In Stock,https://www.xmarkfitness.com/blemished-chisel-olympic-ez-curl-bar-with-4-needle-bearings/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1264/images/4377/CHISEL-1__00861.1599680822.195.195.jpg?c=2
1,CROWBAR EZ Curl and  Olympic Bar,$291.00,Out of stock,https://www.xmarkfitness.com/crowbar-ez-curl-and-olympic-bar/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1240/images/4213/crow-and-curl__54787.1591105363.195.195.jpg?c=2
2,BLACKSMITH EZ Curl Olympic Bar,$79.00,Out of stock,https://www.xmarkfitness.com/blacksmith-ez-curl-olympic-bar/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1241/images/4224/BLACKSMITH-CURL-5-nodotcom__27378.1591105917.195.195.jpg?c=2
3,EZ Curl Olympic Bar XM-3670.1-BLACK,$94.00,Out of stock,https://www.xmarkfitness.com/bars/xmark-chrome-olympic-ez-curl-bar-xm-3670/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/176/images/4263/3670.1-BLACK-1__15145.1592582559.195.195.jpg?c=2
4,IRONHORSE Super Curl Olympic Bar,$95.00,Out of stock,https://www.xmarkfitness.com/ironhorse-super-curl-olympic-bar/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1233/images/4145/IRONHORSE-1__91622.1574432424.195.195.jpg?c=2
5,CHISEL EZ Curl Olympic Bar with Needle Bearings,$108.00,Out of stock,https://www.xmarkfitness.com/chisel-ez-curl-olympic-bar-with-needle-bearings/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/315/images/4261/CHISEL-close__52332.1592427206.195.195.jpg?c=2
6,ECO Bar with Tri Grip Olympic Plate Set,$450.00,Out of stock,https://www.xmarkfitness.com/eco-bar-with-tri-grip-olympic-plate-set/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1261/images/4359/3817-BLACK-3377-BAL-115__87613.1595606277.195.195.jpg?c=2
7,XMark 7’ Black Olympic Bar (28 mm) with Brass Bushings,$150.00,In Stock,https://www.xmarkfitness.com/xmark-7-black-olympic-bar-28-mm-with-brass-bushings/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/308/images/991/3817-BLACK-1__88792.1477431460.195.195.jpg?c=2
8,VOODOO Commercial 7' Olympic Bar,$202.00,Out of stock,https://www.xmarkfitness.com/voodoo-commercial-7-olympic-bar/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/234/images/901/VOODOO-5__50635.1547220244.195.195.jpg?c=2
9,CROWBAR Commercial 7' Olympic Bar,$214.00,Out of stock,https://www.xmarkfitness.com/crowbar-commercial-7-olympic-bar/,Xmark Fitness,Barbells,https://cdn10.bigcommerce.com/s-l4qtjnp/products/1195/images/3989/CROWBAR-1__83933.1560875215.195.195.jpg?c=2
