Unnamed: 0,p_title,price,stock,url,company,p_type,img_url
0,American Barbell Cerakote Training Bar,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/american-barbell-cerakote-training-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/10_OB20-B_New_800x800_grande_01d4e74c-ba04-46b5-8cc7-1878a6e8bfd4_1024x1024.jpg?v=1527057679
1,American Barbell Training Bar,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/american-barbell-training-bar-1,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/9_OB20-CH_800x800_1024x1024.png?v=1482208037
2,The California Bar,$ 335.00,In stock,https://americanbarbell.com//collections/bars/products/california-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/california_bar_cerakote_ff5cdb03-0892-4973-a8fc-6a462fb2f688_1024x1024.jpg?v=1599780734
3,American Barbell Fixed Barbells,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/fixed-barbells,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/1c_1024x1024.png?v=1594943060
4,American Barbell Stainless Bearing Bar (Comp. Spec.),$ 695.00,In stock,https://americanbarbell.com//collections/bars/products/american-barbell-competition-bearing-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/1_OB20-SS-NBCB_800x800_1024x1024.png?v=1482207997
5,American Barbell Performance Bearing Bar,$ 575.00,In stock,https://americanbarbell.com//collections/bars/products/american-barbell-performance-bearing-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/2_OB20-CH-NB_800x800_1024x1024.png?v=1482207863
6,American Barbell Stainless Precision Training Bar,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/american-barbell-precision-training-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/3_OB20-SS-IWF_800x800_1024x1024.png?v=1482208006
7,American Barbell Performance Training Bar,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/american-barbell-performance-training-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/4_OB20-CH-IWF_800x800_1024x1024.png?v=1482207862
8,American Barbell Cerakote Mammoth Power Bar,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/american-barbell-ceramic-mammoth-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/cerakote-mammoth-bar_1024x1024.jpg?v=1527057668
9,American Barbell Hex Bar,$ 295.00,In stock,https://americanbarbell.com//collections/bars/products/rackable-hex-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_0028_1024x1024.jpg?v=1482207825
10,American Barbell Safety Squat Bar,$ 399.00,In stock,https://americanbarbell.com//collections/bars/products/safety-squat-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_0151_1024x1024.jpg?v=1482207955
11,Swiss Multi-Grip Bar,$ 295.00,In stock,https://americanbarbell.com//collections/bars/products/football-swiss-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_7217_1024x1024.jpg?v=1501480782
12,American Barbell Camber Bar,$ 199.00,In stock,https://americanbarbell.com//collections/bars/products/american-barbell-camber-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_0016_1024x1024.jpg?v=1527057666
13,Dual Height Fat Grip Hex Bar,$ 349.00,In stock,https://americanbarbell.com//collections/bars/products/dual-height-fat-grip-hex-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_0002_1024x1024.jpg?v=1482208172
14,"T-Grip Club Strength Lite Bar Set (includes Black T-Grip Lite Bar, 2x 2.5lb, 2x 5lb, 2x 10lb plates and 2x 1"" Spring Collars)",$ 168.00,In stock,https://americanbarbell.com//collections/bars/products/t-grip-club-strength-lite-bar-set,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_8902_1024x1024.jpg?v=1501480792
15,T-Grip Shorty Bar,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/t-grip-shorty-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/1_grande_2e0801c6-5e6c-45de-81b9-9a7bf14eb9a0_1024x1024.jpg?v=1501480825
16,T-Grip Club Strength Lite Bar,$ 79.00,In stock,https://americanbarbell.com//collections/bars/products/t-grip-club-strength-lite-bar,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/lite99_1024x1024.jpeg?v=1509579393
17,T-Grip Max Set,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/t-grip-max-set,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_8904_1024x1024.jpg?v=1501480821
18,"T-Grip Club Strength Lite Bar Set 2 (includes: T-Grip Lite Bar, chrome straight bar, 2x 2.5lb, 2x 5lb, 2x 10lbs and 2x 1"" Spring Collars)",$ 199.00,In stock,https://americanbarbell.com//collections/bars/products/t-grip-club-strength-lite-bar-set-2,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/IMG_0024_2_1024x1024.JPG?v=1501480800
19,5KG High Strength Technique Bar,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/american-barbell-high-stength-technique-bar-5kg,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/ATB-5_800x800_1024x1024.png?v=1527057614
20,Economy 5KG Technique Training Bar,$ 0.00,Out of stock,https://americanbarbell.com//collections/bars/products/economy-technique-training-bar-5kg,American Barbell,Barbell,https://cdn.shopify.com/s/files/1/0332/6297/products/ATB-5-E_1024x1024.png?v=1482208209
0,45 LB Single Economy Black Bumper Plate,$79.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/45-lb-single-economy-black-bumper-plate/430105.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw71df3dc6/images/hi-res/Fitness/430105.2_01.jpg?sw=800&sh=800
1,35 LB Single Economy Black Bumper Plate,$64.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/35-lb-single-economy-black-bumper-plate/430104.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw2fab4824/images/hi-res/Fitness/430104.2_01.jpg?sw=800&sh=800
2,25 LB Pair Cast Iron Olympic Plates,$74.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/cast-iron-plates/25-lb-pair-cast-iron-olympic-plates/430211.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw220669d8/images/hi-res/Fitness/430211_01.jpg?sw=800&sh=800
3,20 LB Ruck Weight,$39.99,In Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/20-lb-ruck-weight/430158.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw5bbc33c7/images/hi-res/Fitness/430158_01.jpg?sw=800&sh=800
4,1.5 KG Pair Black Change Plates,$34.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/1.5-kg-pair-black-change-plates/430242.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw86673b5c/images/hi-res/Fitness/430242.2_01.jpg?sw=800&sh=800
5,2 KG Pair Black Change Plates,$39.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/2-kg-pair-black-change-plates/430243.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw9bf9b992/images/hi-res/Fitness/430243.2_01.jpg?sw=800&sh=800
6,0.5 KG Pair Black Change Plates,$19.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/0.5-kg-pair-black-change-plates/430240.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw9619122e/images/hi-res/Fitness/430240.2_01.jpg?sw=800&sh=800
7,Pair of Wagon Wheel Pulling Blocks,$223.99,In Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/pair-of-wagon-wheel-pulling-blocks/430119.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw2136f7a1/images/hi-res/Fitness/430119_01.jpg?sw=800&sh=800
8,2.5 KG Technique Weight Plates – Pair,$122.99,In Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/2.5-kg-technique-weight-plates-%E2%80%93-pair/430125.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw0dedabcf/images/hi-res/Fitness/430120.2_01.jpg?sw=800&sh=800
9,1 KG Pair Black Change Plates,$24.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/specialty-plates/1-kg-pair-black-change-plates/430241.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw74fcfdf6/images/hi-res/Fitness/430241.2_01.jpg?sw=800&sh=800
10,25 LB Single Color Urethane Bumper Plate,$82.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/25-lb-single-color-urethane-bumper-plate/430222.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwaa6f1de7/images/hi-res/Fitness/430222.2_01.jpg?sw=800&sh=800
11,45 LB Single Cast Iron Olympic Plates,$64.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/cast-iron-plates/45-lb-single-cast-iron-olympic-plates/430232.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dwf2fc703f/images/hi-res/Fitness/430232_01.jpg?sw=800&sh=800
12,15 LB Pair Economy Black Bumper Plates,$54.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/15-lb-pair-economy-black-bumper-plates/430102.2.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw7ecb0c0f/images/hi-res/Fitness/430102.2_01.jpg?sw=800&sh=800
13,230 LB Set Elite Black Bumper Plates,$729.99,Out of Stock,https://www.titan.fitness/strength/weight-plates//strength/weight-plates/bumper-plates/230-lb-set-elite-black-bumper-plates/430188.html,Titan Fitness,Plates,https://www.titan.fitness/dw/image/v2/BDBZ_PRD/on/demandware.static/-/Sites-masterCatalog_Titan/default/dw0e3355c6/images/hi-res/Fitness/430188_01.jpg?sw=800&sh=800
